sample	samples	ENSG00000262814.6	_primary_site
GTEX-XXEK-1326-SM-4BRV1	GTEX-XXEK-1326-SM-4BRV1	5.027	Thyroid
GTEX-1128S-2726-SM-5H12C	GTEX-1128S-2726-SM-5H12C	5.027	Brain
GTEX-13QIC-2926-SM-5J2NF	GTEX-13QIC-2926-SM-5J2NF	5.027	Brain
GTEX-ZAB4-0011-R5a-SM-4SOKC	GTEX-ZAB4-0011-R5a-SM-4SOKC	5.027	Brain
GTEX-ZUA1-0011-R7b-SM-4YCDP	GTEX-ZUA1-0011-R7b-SM-4YCDP	5.027	Brain
GTEX-131YS-3226-SM-5IFGV	GTEX-131YS-3226-SM-5IFGV	5.026	Pituitary
GTEX-ZTX8-1726-SM-51MSB	GTEX-ZTX8-1726-SM-51MSB	5.026	Nerve
GTEX-11GS4-1426-SM-5N9D2	GTEX-11GS4-1426-SM-5N9D2	5.026	Esophagus
GTEX-145LT-1226-SM-5Q5BZ	GTEX-145LT-1226-SM-5Q5BZ	5.026	Esophagus
GTEX-139UC-0011-R6b-SM-5K7Z1	GTEX-139UC-0011-R6b-SM-5K7Z1	5.026	Brain
GTEX-13FLW-0011-R1b-SM-5LZX2	GTEX-13FLW-0011-R1b-SM-5LZX2	5.026	Brain
GTEX-Q2AG-2926-SM-2HMJ3	GTEX-Q2AG-2926-SM-2HMJ3	5.026	Brain
GTEX-X261-0008-SM-4PR11	GTEX-X261-0008-SM-4PR11	5.026	Skin
GTEX-ZA64-0226-SM-5HL9C	GTEX-ZA64-0226-SM-5HL9C	5.025	Adrenal Gland
GTEX-147JS-0126-SM-5S2TW	GTEX-147JS-0126-SM-5S2TW	5.024	Testis
GTEX-14E6E-1226-SM-5S2R5	GTEX-14E6E-1226-SM-5S2R5	5.024	Spleen
GTEX-QEG5-0626-SM-2S1PP	GTEX-QEG5-0626-SM-2S1PP	5.024	Blood Vessel
GTEX-ZUA1-2126-SM-57YRB	GTEX-ZUA1-2126-SM-57YRB	5.024	Adipose Tissue
GTEX-145MO-2626-SM-5QGPD	GTEX-145MO-2626-SM-5QGPD	5.023	Colon
GTEX-OHPL-0726-SM-3TW8U	GTEX-OHPL-0726-SM-3TW8U	5.023	Esophagus
GTEX-R3RS-1026-SM-3GADF	GTEX-R3RS-1026-SM-3GADF	5.023	Lung
GTEX-13FTW-0326-SM-5K7UW	GTEX-13FTW-0326-SM-5K7UW	5.023	Skin
GTEX-PWO3-1526-SM-48TCM	GTEX-PWO3-1526-SM-48TCM	5.023	Skin
GTEX-SNOS-1126-SM-4DM67	GTEX-SNOS-1126-SM-4DM67	5.022	Testis
GTEX-S7SF-0626-SM-4AD4V	GTEX-S7SF-0626-SM-4AD4V	5.022	Stomach
GTEX-YFCO-0826-SM-5LUAG	GTEX-YFCO-0826-SM-5LUAG	5.022	Stomach
GTEX-Y5V6-0226-SM-4V6G7	GTEX-Y5V6-0226-SM-4V6G7	5.022	Lung
GTEX-1399T-0011-R11a-SM-5J2O1	GTEX-1399T-0011-R11a-SM-5J2O1	5.022	Brain
GTEX-145LV-2126-SM-5LU8N	GTEX-145LV-2126-SM-5LU8N	5.022	Skin
GTEX-QVJO-1626-SM-2S1QW	GTEX-QVJO-1626-SM-2S1QW	5.022	Skin
GTEX-T5JC-0426-SM-32PLO	GTEX-T5JC-0426-SM-32PLO	5.022	Skin
GTEX-13RTJ-0626-SM-5S2NB	GTEX-13RTJ-0626-SM-5S2NB	5.022	Blood Vessel
GTEX-13OVG-1326-SM-5K7Y3	GTEX-13OVG-1326-SM-5K7Y3	5.022	Adipose Tissue
GTEX-UJHI-0926-SM-4IHKF	GTEX-UJHI-0926-SM-4IHKF	5.021	Esophagus
GTEX-WL46-0011-R5A-SM-3LK6V	GTEX-WL46-0011-R5A-SM-3LK6V	5.021	Brain
GTEX-11ZTT-0008-SM-5S2TZ	GTEX-11ZTT-0008-SM-5S2TZ	5.021	Skin
GTEX-111FC-1026-SM-5GZX1	GTEX-111FC-1026-SM-5GZX1	5.02	Thyroid
GTEX-145MF-2726-SM-5O995	GTEX-145MF-2726-SM-5O995	5.02	Brain
GTEX-11TUW-0926-SM-5EQMW	GTEX-11TUW-0926-SM-5EQMW	5.02	Blood Vessel
GTEX-ZVT2-0826-SM-5GIEO	GTEX-ZVT2-0826-SM-5GIEO	5.019	Adrenal Gland
GTEX-NPJ8-1626-SM-2HMIY	GTEX-NPJ8-1626-SM-2HMIY	5.019	Muscle
GTEX-QCQG-1826-SM-2S1P2	GTEX-QCQG-1826-SM-2S1P2	5.019	Adipose Tissue
GTEX-ZVT3-1426-SM-59HLP	GTEX-ZVT3-1426-SM-59HLP	5.018	Esophagus
GTEX-11LCK-0426-SM-5A5M8	GTEX-11LCK-0426-SM-5A5M8	5.018	Lung
GTEX-OXRL-0226-SM-3NB18	GTEX-OXRL-0226-SM-3NB18	5.018	Adipose Tissue
GTEX-XBED-2326-SM-47JYR	GTEX-XBED-2326-SM-47JYR	5.017	Adipose Tissue
GTEX-12BJ1-1726-SM-5HL9B	GTEX-12BJ1-1726-SM-5HL9B	5.016	Stomach
GTEX-11WQC-0011-R10a-SM-57WCT	GTEX-11WQC-0011-R10a-SM-57WCT	5.016	Brain
GTEX-11EQ9-2426-SM-5HL5T	GTEX-11EQ9-2426-SM-5HL5T	5.016	Skin
GTEX-WHSB-1326-SM-3LK6W	GTEX-WHSB-1326-SM-3LK6W	5.016	Skin
GTEX-13OW8-0426-SM-5J2NR	GTEX-13OW8-0426-SM-5J2NR	5.015	Prostate
GTEX-X261-0011-R5A-SM-3NMB4	GTEX-X261-0011-R5A-SM-3NMB4	5.015	Brain
GTEX-12696-2426-SM-5EQ6H	GTEX-12696-2426-SM-5EQ6H	5.015	Skin
GTEX-13W3W-0726-SM-5IJDQ	GTEX-13W3W-0726-SM-5IJDQ	5.015	Skin
GTEX-W5X1-2526-SM-3GILC	GTEX-W5X1-2526-SM-3GILC	5.015	Skin
GTEX-ZZPU-1426-SM-5GZZ6	GTEX-ZZPU-1426-SM-5GZZ6	5.014	Stomach
GTEX-13X6J-0011-R5b-SM-5PNWT	GTEX-13X6J-0011-R5b-SM-5PNWT	5.014	Brain
GTEX-XV7Q-2626-SM-4BRVA	GTEX-XV7Q-2626-SM-4BRVA	5.014	Adipose Tissue
GTEX-11ZUS-2126-SM-5N9E6	GTEX-11ZUS-2126-SM-5N9E6	5.013	Prostate
GTEX-QEL4-1526-SM-447AB	GTEX-QEL4-1526-SM-447AB	5.013	Esophagus
GTEX-13OVI-1226-SM-5J2ME	GTEX-13OVI-1226-SM-5J2ME	5.013	Adrenal Gland
GTEX-13CF2-2026-SM-5K7VI	GTEX-13CF2-2026-SM-5K7VI	5.013	Breast
GTEX-Y111-1926-SM-4SOIS	GTEX-Y111-1926-SM-4SOIS	5.012	Thyroid
GTEX-RNOR-0011-R1A-SM-5SI8F	GTEX-RNOR-0011-R1A-SM-5SI8F	5.012	Brain
GTEX-13113-1626-SM-5EQ4I	GTEX-13113-1626-SM-5EQ4I	5.012	Skin
GTEX-QESD-0326-SM-47J4F	GTEX-QESD-0326-SM-47J4F	5.012	Blood Vessel
GTEX-13O61-1326-SM-5KM31	GTEX-13O61-1326-SM-5KM31	5.011	Small Intestine
GTEX-11ZTS-0126-SM-5EQ6M	GTEX-11ZTS-0126-SM-5EQ6M	5.011	Skin
GTEX-14BIL-2926-SM-5SIAF	GTEX-14BIL-2926-SM-5SIAF	5.01	Pituitary
GTEX-131XE-0426-SM-5IJF4	GTEX-131XE-0426-SM-5IJF4	5.01	Testis
GTEX-14753-0626-SM-5Q5CY	GTEX-14753-0626-SM-5Q5CY	5.01	Testis
GTEX-13NZ9-0926-SM-5KM12	GTEX-13NZ9-0926-SM-5KM12	5.01	Lung
GTEX-1497J-0326-SM-5Q5CN	GTEX-1497J-0326-SM-5Q5CN	5.01	Lung
GTEX-ZVP2-0426-SM-57WC2	GTEX-ZVP2-0426-SM-57WC2	5.01	Thyroid
GTEX-XLM4-0011-R4B-SM-4AT5C	GTEX-XLM4-0011-R4B-SM-4AT5C	5.01	Brain
GTEX-13OVH-0526-SM-5L3E6	GTEX-13OVH-0526-SM-5L3E6	5.01	Skin
GTEX-Q2AH-1726-SM-2S1OT	GTEX-Q2AH-1726-SM-2S1OT	5.01	Adipose Tissue
GTEX-13O3O-0011-R7b-SM-5P9GZ	GTEX-13O3O-0011-R7b-SM-5P9GZ	5.009	Brain
GTEX-ZAB4-0011-R3a-SM-4RGNQ	GTEX-ZAB4-0011-R3a-SM-4RGNQ	5.009	Brain
GTEX-YJ8O-2226-SM-5IFHW	GTEX-YJ8O-2226-SM-5IFHW	5.009	Breast
GTEX-ZXES-0926-SM-5E43O	GTEX-ZXES-0926-SM-5E43O	5.009	Adipose Tissue
GTEX-145MF-1726-SM-5LU9H	GTEX-145MF-1726-SM-5LU9H	5.008	Testis
GTEX-V955-1626-SM-4JBHJ	GTEX-V955-1626-SM-4JBHJ	5.008	Colon
GTEX-133LE-2326-SM-5K7W3	GTEX-133LE-2326-SM-5K7W3	5.008	Skin
GTEX-13O3O-2326-SM-5IJD6	GTEX-13O3O-2326-SM-5IJD6	5.008	Skin
GTEX-VJYA-0826-SM-4KL1M	GTEX-VJYA-0826-SM-4KL1M	5.007	Pancreas
GTEX-P4PP-0226-SM-5S2VR	GTEX-P4PP-0226-SM-5S2VR	5.007	Adipose Tissue
GTEX-OXRN-2626-SM-48TBX	GTEX-OXRN-2626-SM-48TBX	5.006	Pituitary
GTEX-Y3IK-2526-SM-4WWDM	GTEX-Y3IK-2526-SM-4WWDM	5.006	Adipose Tissue
GTEX-WFG8-2326-SM-5S2UE	GTEX-WFG8-2326-SM-5S2UE	5.005	Adipose Tissue
GTEX-YFC4-0226-SM-57WD2	GTEX-YFC4-0226-SM-57WD2	5.005	Adipose Tissue
GTEX-YF7O-0826-SM-4W21F	GTEX-YF7O-0826-SM-4W21F	5.004	Esophagus
GTEX-ZF2S-1326-SM-4WWAZ	GTEX-ZF2S-1326-SM-4WWAZ	5.004	Esophagus
GTEX-ZYWO-1326-SM-5SI8X	GTEX-ZYWO-1326-SM-5SI8X	5.004	Pancreas
GTEX-NPJ8-0626-SM-48TBO	GTEX-NPJ8-0626-SM-48TBO	5.004	Spleen
GTEX-1313W-0011-R6a-SM-5K7XO	GTEX-1313W-0011-R6a-SM-5K7XO	5.004	Brain
GTEX-1313W-0011-R7b-SM-5DUWL	GTEX-1313W-0011-R7b-SM-5DUWL	5.004	Brain
GTEX-144GL-0011-R11b-SM-5P9F6	GTEX-144GL-0011-R11b-SM-5P9F6	5.004	Brain
GTEX-RNOR-0011-R7A-SM-2TF4V	GTEX-RNOR-0011-R7A-SM-2TF4V	5.004	Brain
GTEX-XUW1-0226-SM-4BOOS	GTEX-XUW1-0226-SM-4BOOS	5.004	Uterus
GTEX-117YX-2426-SM-5GZZJ	GTEX-117YX-2426-SM-5GZZJ	5.002	Nerve
GTEX-12126-0011-R10b-SM-5BC6T	GTEX-12126-0011-R10b-SM-5BC6T	5.002	Brain
GTEX-12ZZX-0126-SM-5EGK9	GTEX-12ZZX-0126-SM-5EGK9	5.002	Skin
GTEX-S7SF-1626-SM-3K2AY	GTEX-S7SF-1626-SM-3K2AY	5.002	Skin
GTEX-YFC4-3226-SM-5CVM2	GTEX-YFC4-3226-SM-5CVM2	5.001	Pituitary
GTEX-QXCU-1126-SM-48FE5	GTEX-QXCU-1126-SM-48FE5	5.001	Esophagus
GTEX-111FC-1326-SM-5N9D9	GTEX-111FC-1326-SM-5N9D9	5.001	Spleen
GTEX-Y8DK-0011-R5B-SM-4RTW6	GTEX-Y8DK-0011-R5B-SM-4RTW6	5.001	Brain
GTEX-X5EB-0826-SM-46MVS	GTEX-X5EB-0826-SM-46MVS	5.001	Heart
GTEX-147GR-0426-SM-5S2OL	GTEX-147GR-0426-SM-5S2OL	5.001	Adipose Tissue
GTEX-11DYG-2526-SM-5N9BB	GTEX-11DYG-2526-SM-5N9BB	5	Prostate
GTEX-Y3I4-0226-SM-4TT27	GTEX-Y3I4-0226-SM-4TT27	5	Thyroid
GTEX-S341-1026-SM-4AD71	GTEX-S341-1026-SM-4AD71	5	Uterus
GTEX-ZPIC-1826-SM-57WFE	GTEX-ZPIC-1826-SM-57WFE	5	Adipose Tissue
GTEX-WY7C-2626-SM-3NB2P	GTEX-WY7C-2626-SM-3NB2P	4.999	Nerve
GTEX-OXRN-1726-SM-3NM9B	GTEX-OXRN-1726-SM-3NM9B	4.999	Esophagus
GTEX-11ZUS-2826-SM-5EQKW	GTEX-11ZUS-2826-SM-5EQKW	4.999	Brain
GTEX-S3XE-1726-SM-3K2AM	GTEX-S3XE-1726-SM-3K2AM	4.999	Skin
GTEX-ZVT2-0226-SM-5GIE3	GTEX-ZVT2-0226-SM-5GIE3	4.999	Adipose Tissue
GTEX-111YS-2026-SM-5EGGL	GTEX-111YS-2026-SM-5EGGL	4.998	Testis
GTEX-WH7G-0526-SM-3NMBI	GTEX-WH7G-0526-SM-3NMBI	4.998	Thyroid
GTEX-WYBS-1126-SM-3NMAM	GTEX-WYBS-1126-SM-3NMAM	4.997	Lung
GTEX-11NSD-0126-SM-5987F	GTEX-11NSD-0126-SM-5987F	4.997	Thyroid
GTEX-14BMU-0226-SM-5S2QA	GTEX-14BMU-0226-SM-5S2QA	4.997	Thyroid
GTEX-QLQW-1026-SM-447A9	GTEX-QLQW-1026-SM-447A9	4.996	Testis
GTEX-13S86-0726-SM-5Q5DH	GTEX-13S86-0726-SM-5Q5DH	4.996	Esophagus
GTEX-144GO-0126-SM-5LUAO	GTEX-144GO-0126-SM-5LUAO	4.996	Thyroid
GTEX-11NSD-2226-SM-5986V	GTEX-11NSD-2226-SM-5986V	4.996	Skin
GTEX-13QBU-1726-SM-5IJFQ	GTEX-13QBU-1726-SM-5IJFQ	4.996	Vagina
GTEX-OXRK-0426-SM-3NB2E	GTEX-OXRK-0426-SM-3NB2E	4.995	Nerve
GTEX-WY7C-2226-SM-4ONCS	GTEX-WY7C-2226-SM-4ONCS	4.995	Testis
GTEX-13G51-0011-R10b-SM-5LZYF	GTEX-13G51-0011-R10b-SM-5LZYF	4.995	Brain
GTEX-T6MO-0326-SM-32QOK	GTEX-T6MO-0326-SM-32QOK	4.995	Breast
GTEX-145LU-0011-R10a-SM-5PNWJ	GTEX-145LU-0011-R10a-SM-5PNWJ	4.994	Brain
GTEX-OHPK-1726-SM-48TC4	GTEX-OHPK-1726-SM-48TC4	4.993	Nerve
GTEX-ZEX8-2426-SM-4WKG4	GTEX-ZEX8-2426-SM-4WKG4	4.993	Skin
GTEX-13OVJ-0926-SM-5K7U1	GTEX-13OVJ-0926-SM-5K7U1	4.993	Adipose Tissue
GTEX-Y5V5-0226-SM-5S2N8	GTEX-Y5V5-0226-SM-5S2N8	4.993	Adipose Tissue
GTEX-ZAJG-2626-SM-5S2NU	GTEX-ZAJG-2626-SM-5S2NU	4.992	Colon
GTEX-OIZG-0926-SM-3LK5Y	GTEX-OIZG-0926-SM-3LK5Y	4.991	Esophagus
GTEX-13FTX-0326-SM-5J2NG	GTEX-13FTX-0326-SM-5J2NG	4.991	Lung
GTEX-U4B1-1226-SM-4DXT7	GTEX-U4B1-1226-SM-4DXT7	4.99	Bladder
GTEX-PWCY-2126-SM-48TEC	GTEX-PWCY-2126-SM-48TEC	4.99	Nerve
GTEX-XUZC-0526-SM-4BOPF	GTEX-XUZC-0526-SM-4BOPF	4.99	Esophagus
GTEX-ZAB4-1726-SM-5HL8C	GTEX-ZAB4-1726-SM-5HL8C	4.99	Pancreas
GTEX-1313W-0726-SM-5EGK1	GTEX-1313W-0726-SM-5EGK1	4.99	Thyroid
GTEX-13X6J-0011-R4b-SM-5P9K4	GTEX-13X6J-0011-R4b-SM-5P9K4	4.99	Brain
GTEX-X585-2526-SM-4QAS1	GTEX-X585-2526-SM-4QAS1	4.99	Adipose Tissue
GTEX-N7MT-1626-SM-3LK71	GTEX-N7MT-1626-SM-3LK71	4.989	Pancreas
GTEX-13111-0126-SM-5EGHO	GTEX-13111-0126-SM-5EGHO	4.989	Spleen
GTEX-Y5V6-2726-SM-4VDSC	GTEX-Y5V6-2726-SM-4VDSC	4.988	Nerve
GTEX-Q2AI-1226-SM-48U14	GTEX-Q2AI-1226-SM-48U14	4.988	Testis
GTEX-ZQG8-2426-SM-57WEE	GTEX-ZQG8-2426-SM-57WEE	4.988	Colon
GTEX-O5YT-0726-SM-3MJHA	GTEX-O5YT-0726-SM-3MJHA	4.988	Esophagus
GTEX-QVJO-0011-R7A-SM-2S1QO	GTEX-QVJO-0011-R7A-SM-2S1QO	4.988	Brain
GTEX-WWYW-3026-SM-3NB36	GTEX-WWYW-3026-SM-3NB36	4.988	Brain
GTEX-WL46-3026-SM-3LK7Z	GTEX-WL46-3026-SM-3LK7Z	4.987	Pituitary
GTEX-Y9LG-1726-SM-4VBQE	GTEX-Y9LG-1726-SM-4VBQE	4.987	Testis
GTEX-VJYA-1026-SM-4KL21	GTEX-VJYA-1026-SM-4KL21	4.987	Stomach
GTEX-13FXS-0011-R11a-SM-5L3DM	GTEX-13FXS-0011-R11a-SM-5L3DM	4.987	Brain
GTEX-13VXU-3026-SM-5LU3K	GTEX-13VXU-3026-SM-5LU3K	4.987	Brain
GTEX-Q2AG-0011-R10A-SM-2HMLA	GTEX-Q2AG-0011-R10A-SM-2HMLA	4.987	Brain
GTEX-XOTO-0011-R8A-SM-4B65J	GTEX-XOTO-0011-R8A-SM-4B65J	4.987	Brain
GTEX-11DYG-0008-SM-5QGR5	GTEX-11DYG-0008-SM-5QGR5	4.987	Skin
GTEX-ZG7Y-0326-SM-4WWEY	GTEX-ZG7Y-0326-SM-4WWEY	4.986	Pancreas
GTEX-11WQC-0011-R8b-SM-57WCH	GTEX-11WQC-0011-R8b-SM-57WCH	4.986	Brain
GTEX-1445S-0011-R2b-SM-5PNUH	GTEX-1445S-0011-R2b-SM-5PNUH	4.986	Brain
GTEX-T5JC-0011-R6A-SM-5SI89	GTEX-T5JC-0011-R6A-SM-5SI89	4.986	Brain
GTEX-12WSK-2326-SM-5GCOH	GTEX-12WSK-2326-SM-5GCOH	4.986	Skin
GTEX-XGQ4-2526-SM-4AT57	GTEX-XGQ4-2526-SM-4AT57	4.985	Nerve
GTEX-P4QT-2626-SM-2I3FM	GTEX-P4QT-2626-SM-2I3FM	4.985	Thyroid
GTEX-14753-1726-SM-5NQ9X	GTEX-14753-1726-SM-5NQ9X	4.985	Adrenal Gland
GTEX-13N11-1126-SM-5KM41	GTEX-13N11-1126-SM-5KM41	4.985	Uterus
GTEX-X4EO-0008-SM-4QASS	GTEX-X4EO-0008-SM-4QASS	4.984	Skin
GTEX-W5WG-1426-SM-4KKZP	GTEX-W5WG-1426-SM-4KKZP	4.983	Thyroid
GTEX-12WSH-0011-R2a-SM-5GU68	GTEX-12WSH-0011-R2a-SM-5GU68	4.983	Brain
GTEX-OXRK-0226-SM-2YUN1	GTEX-OXRK-0226-SM-2YUN1	4.983	Skin
GTEX-PWCY-1826-SM-2S1OK	GTEX-PWCY-1826-SM-2S1OK	4.983	Skin
GTEX-WYJK-0526-SM-3NM8Z	GTEX-WYJK-0526-SM-3NM8Z	4.983	Skin
GTEX-11EM3-0526-SM-5H12N	GTEX-11EM3-0526-SM-5H12N	4.983	Blood Vessel
GTEX-QCQG-2126-SM-2S1P8	GTEX-QCQG-2126-SM-2S1P8	4.983	Muscle
GTEX-1122O-2426-SM-5GIDN	GTEX-1122O-2426-SM-5GIDN	4.982	Muscle
GTEX-S4Q7-0926-SM-4AD5D	GTEX-S4Q7-0926-SM-4AD5D	4.981	Bladder
GTEX-11EI6-0426-SM-5EQ43	GTEX-11EI6-0426-SM-5EQ43	4.981	Nerve
GTEX-POYW-0426-SM-2XCEV	GTEX-POYW-0426-SM-2XCEV	4.981	Nerve
GTEX-111CU-1726-SM-5EGHM	GTEX-111CU-1726-SM-5EGHM	4.981	Testis
GTEX-ZYT6-2726-SM-5GICP	GTEX-ZYT6-2726-SM-5GICP	4.981	Testis
GTEX-11P7K-1826-SM-5HL5A	GTEX-11P7K-1826-SM-5HL5A	4.981	Colon
GTEX-13CF3-1926-SM-5K7WF	GTEX-13CF3-1926-SM-5K7WF	4.981	Stomach
GTEX-139YR-1526-SM-5IFJ1	GTEX-139YR-1526-SM-5IFJ1	4.981	Pancreas
GTEX-11I78-0526-SM-5986A	GTEX-11I78-0526-SM-5986A	4.981	Thyroid
GTEX-Y3IK-0526-SM-4WWE3	GTEX-Y3IK-0526-SM-4WWE3	4.981	Thyroid
GTEX-WL46-0011-R6A-SM-3LK6X	GTEX-WL46-0011-R6A-SM-3LK6X	4.981	Brain
GTEX-X4EP-0008-SM-4PQYO	GTEX-X4EP-0008-SM-4PQYO	4.981	Skin
GTEX-PX3G-0226-SM-3NB2C	GTEX-PX3G-0226-SM-3NB2C	4.981	Adipose Tissue
GTEX-SIU8-0226-SM-2XCDS	GTEX-SIU8-0226-SM-2XCDS	4.981	Adipose Tissue
GTEX-WHPG-0626-SM-3NMBD	GTEX-WHPG-0626-SM-3NMBD	4.981	Adipose Tissue
GTEX-1314G-1826-SM-5LZVA	GTEX-1314G-1826-SM-5LZVA	4.98	Nerve
GTEX-13IVO-0426-SM-5LZY7	GTEX-13IVO-0426-SM-5LZY7	4.98	Nerve
GTEX-12WSH-0326-SM-5GCNH	GTEX-12WSH-0326-SM-5GCNH	4.979	Testis
GTEX-1122O-1426-SM-5H11R	GTEX-1122O-1426-SM-5H11R	4.979	Colon
GTEX-WYJK-1426-SM-3NM8V	GTEX-WYJK-1426-SM-3NM8V	4.979	Adipose Tissue
GTEX-WY7C-0226-SM-3NB37	GTEX-WY7C-0226-SM-3NB37	4.978	Thyroid
GTEX-12ZZZ-0011-R7b-SM-5EGLE	GTEX-12ZZZ-0011-R7b-SM-5EGLE	4.978	Brain
GTEX-WRHU-2826-SM-3MJG8	GTEX-WRHU-2826-SM-3MJG8	4.978	Skin
GTEX-144GM-2126-SM-5LU3P	GTEX-144GM-2126-SM-5LU3P	4.977	Nerve
GTEX-QV44-1526-SM-4R1KI	GTEX-QV44-1526-SM-4R1KI	4.977	Prostate
GTEX-13VXU-0011-R6a-SM-5SI71	GTEX-13VXU-0011-R6a-SM-5SI71	4.977	Brain
GTEX-ZAB5-1826-SM-5HL7C	GTEX-ZAB5-1826-SM-5HL7C	4.977	Skin
GTEX-YFCO-2026-SM-4W21Q	GTEX-YFCO-2026-SM-4W21Q	4.977	Adipose Tissue
GTEX-Z93S-2426-SM-5HL8N	GTEX-Z93S-2426-SM-5HL8N	4.976	Colon
GTEX-139T6-0426-SM-5IJEM	GTEX-139T6-0426-SM-5IJEM	4.976	Lung
GTEX-WYBS-1926-SM-3NM8N	GTEX-WYBS-1926-SM-3NM8N	4.976	Thyroid
GTEX-146FQ-2126-SM-5RQHU	GTEX-146FQ-2126-SM-5RQHU	4.976	Skin
GTEX-XOT4-0008-SM-4B664	GTEX-XOT4-0008-SM-4B664	4.976	Skin
GTEX-13OW8-0226-SM-5K7UP	GTEX-13OW8-0226-SM-5K7UP	4.976	Breast
GTEX-P4PP-0226-SM-2S1NN	GTEX-P4PP-0226-SM-2S1NN	4.976	Adipose Tissue
GTEX-ZDXO-2326-SM-5LU9W	GTEX-ZDXO-2326-SM-5LU9W	4.976	Adipose Tissue
GTEX-R55D-0126-SM-48FEL	GTEX-R55D-0126-SM-48FEL	4.975	Testis
GTEX-13JVG-0011-R5a-SM-5MR4O	GTEX-13JVG-0011-R5a-SM-5MR4O	4.975	Brain
GTEX-13OVG-0226-SM-5LU93	GTEX-13OVG-0226-SM-5LU93	4.974	Thyroid
GTEX-ZDYS-2426-SM-4WKGI	GTEX-ZDYS-2426-SM-4WKGI	4.974	Skin
GTEX-ZV7C-1826-SM-5NQ83	GTEX-ZV7C-1826-SM-5NQ83	4.974	Breast
GTEX-OIZI-0626-SM-2XCEH	GTEX-OIZI-0626-SM-2XCEH	4.974	Muscle
GTEX-117YW-2826-SM-5H116	GTEX-117YW-2826-SM-5H116	4.973	Pituitary
GTEX-13G51-3226-SM-5IFG7	GTEX-13G51-3226-SM-5IFG7	4.973	Pituitary
GTEX-OOBK-2126-SM-3LK5T	GTEX-OOBK-2126-SM-3LK5T	4.973	Testis
GTEX-14DAQ-1626-SM-5S2R1	GTEX-14DAQ-1626-SM-5S2R1	4.973	Esophagus
GTEX-1313W-0011-R5b-SM-5L3EP	GTEX-1313W-0011-R5b-SM-5L3EP	4.973	Brain
GTEX-N7MT-0011-R1a-SM-5SI7S	GTEX-N7MT-0011-R1a-SM-5SI7S	4.973	Brain
GTEX-11OF3-2426-SM-5Q5AS	GTEX-11OF3-2426-SM-5Q5AS	4.973	Adipose Tissue
GTEX-131XG-2526-SM-5HL7F	GTEX-131XG-2526-SM-5HL7F	4.972	Nerve
GTEX-12WSI-2126-SM-5GCMV	GTEX-12WSI-2126-SM-5GCMV	4.972	Testis
GTEX-14A5I-2926-SM-5Q5CQ	GTEX-14A5I-2926-SM-5Q5CQ	4.972	Brain
GTEX-N7MS-0011-R2a-SM-2HML6	GTEX-N7MS-0011-R2a-SM-2HML6	4.972	Brain
GTEX-OHPM-0726-SM-3LK7A	GTEX-OHPM-0726-SM-3LK7A	4.971	Esophagus
GTEX-PLZ6-0426-SM-5IFK2	GTEX-PLZ6-0426-SM-5IFK2	4.971	Lung
GTEX-11DXZ-2326-SM-5EGGV	GTEX-11DXZ-2326-SM-5EGGV	4.971	Skin
GTEX-13PL6-0526-SM-5L3G6	GTEX-13PL6-0526-SM-5L3G6	4.971	Blood Vessel
GTEX-VUSG-1426-SM-3GIJN	GTEX-VUSG-1426-SM-3GIJN	4.971	Adipose Tissue
GTEX-13FLW-2126-SM-5N9FD	GTEX-13FLW-2126-SM-5N9FD	4.97	Testis
GTEX-11GSP-1726-SM-5A5LI	GTEX-11GSP-1726-SM-5A5LI	4.97	Esophagus
GTEX-13FTY-0726-SM-5J2OH	GTEX-13FTY-0726-SM-5J2OH	4.97	Thyroid
GTEX-XMK1-2626-SM-4B65R	GTEX-XMK1-2626-SM-4B65R	4.97	Salivary Gland
GTEX-OXRK-0226-SM-3NB2G	GTEX-OXRK-0226-SM-3NB2G	4.97	Skin
GTEX-X15G-1626-SM-3NMB3	GTEX-X15G-1626-SM-3NMB3	4.97	Breast
GTEX-QV31-0426-SM-447C4	GTEX-QV31-0426-SM-447C4	4.969	Esophagus
GTEX-13OVH-1026-SM-5J2NP	GTEX-13OVH-1026-SM-5J2NP	4.969	Lung
GTEX-13OVJ-0011-R10b-SM-5L3HT	GTEX-13OVJ-0011-R10b-SM-5L3HT	4.969	Brain
GTEX-131XE-1026-SM-5EGKE	GTEX-131XE-1026-SM-5EGKE	4.968	Colon
GTEX-T6MO-0826-SM-4DM51	GTEX-T6MO-0826-SM-4DM51	4.968	Colon
GTEX-XBEW-1526-SM-4AT4K	GTEX-XBEW-1526-SM-4AT4K	4.968	Esophagus
GTEX-P4QS-2026-SM-3NMCG	GTEX-P4QS-2026-SM-3NMCG	4.967	Prostate
GTEX-12ZZW-0011-R5a-SM-5DUVN	GTEX-12ZZW-0011-R5a-SM-5DUVN	4.967	Brain
GTEX-R3RS-0126-SM-3GIJL	GTEX-R3RS-0126-SM-3GIJL	4.967	Skin
GTEX-Y5LM-1726-SM-4VDSX	GTEX-Y5LM-1726-SM-4VDSX	4.967	Breast
GTEX-ZLWG-2226-SM-5DUWO	GTEX-ZLWG-2226-SM-5DUWO	4.967	Adipose Tissue
GTEX-Z9EW-2026-SM-5CVMQ	GTEX-Z9EW-2026-SM-5CVMQ	4.966	Nerve
