,V1,V2,V3
TCGA.OR.A5LR.01,ACC(T=79;N=258),Tumor,6.34038908590267
TCGA.OR.A5JI.01,ACC(T=79;N=258),Tumor,6.88523198550667
TCGA.OR.A5J2.01,ACC(T=79;N=258),Tumor,5.80245140326492
TCGA.OR.A5LL.01,ACC(T=79;N=258),Tumor,6.54162231912583
TCGA.OR.A5K1.01,ACC(T=79;N=258),Tumor,7.20816782287491
TCGA.PK.A5HA.01,ACC(T=79;N=258),Tumor,7.20116196283487
TCGA.OR.A5K2.01,ACC(T=79;N=258),Tumor,7.79994122396551
TCGA.OR.A5JO.01,ACC(T=79;N=258),Tumor,6.7489465981183
TCGA.OR.A5KU.01,ACC(T=79;N=258),Tumor,7.58696973532903
TCGA.OR.A5LB.01,ACC(T=79;N=258),Tumor,6.18260538966024
TCGA.OR.A5L8.01,ACC(T=79;N=258),Tumor,6.02448312350092
TCGA.OR.A5J1.01,ACC(T=79;N=258),Tumor,7.73615046850737
TCGA.OR.A5K0.01,ACC(T=79;N=258),Tumor,7.00655438047219
TCGA.OR.A5K8.01,ACC(T=79;N=258),Tumor,6.88176942316255
TCGA.OR.A5L5.01,ACC(T=79;N=258),Tumor,7.12712691585301
TCGA.OR.A5KT.01,ACC(T=79;N=258),Tumor,7.26086803960503
TCGA.OR.A5JF.01,ACC(T=79;N=258),Tumor,6.66245291389679
TCGA.OR.A5L4.01,ACC(T=79;N=258),Tumor,6.55585772316195
TCGA.OR.A5JS.01,ACC(T=79;N=258),Tumor,6.12318158170595
TCGA.OR.A5K5.01,ACC(T=79;N=258),Tumor,7.49481542626134
TCGA.OR.A5JG.01,ACC(T=79;N=258),Tumor,6.13858877031899
TCGA.PK.A5H8.01,ACC(T=79;N=258),Tumor,6.28353605682833
TCGA.OR.A5LE.01,ACC(T=79;N=258),Tumor,6.96059620509678
TCGA.OR.A5JB.01,ACC(T=79;N=258),Tumor,7.45766382612183
TCGA.OR.A5J3.01,ACC(T=79;N=258),Tumor,5.8559828065592
TCGA.OR.A5JQ.01,ACC(T=79;N=258),Tumor,7.33765275739219
TCGA.OR.A5J7.01,ACC(T=79;N=258),Tumor,7.11787566884612
TCGA.OR.A5KZ.01,ACC(T=79;N=258),Tumor,7.43727481376162
TCGA.OR.A5KW.01,ACC(T=79;N=258),Tumor,6.18497661321503
TCGA.PA.A5YG.01,ACC(T=79;N=258),Tumor,6.89537660681451
TCGA.OR.A5J9.01,ACC(T=79;N=258),Tumor,7.09455637792855
TCGA.OR.A5K4.01,ACC(T=79;N=258),Tumor,7.14840362766371
TCGA.OR.A5J8.01,ACC(T=79;N=258),Tumor,7.29094866119655
TCGA.OR.A5LS.01,ACC(T=79;N=258),Tumor,6.05531156455919
TCGA.OR.A5JW.01,ACC(T=79;N=258),Tumor,5.28293801143378
TCGA.OR.A5JC.01,ACC(T=79;N=258),Tumor,6.89078154970859
TCGA.OR.A5LP.01,ACC(T=79;N=258),Tumor,6.51253376145304
GTEX.111CU.0126.SM.5GZWZ,ACC(T=79;N=258),Normal,6.23668394455901
GTEX.111YS.0126.SM.5987T,ACC(T=79;N=258),Normal,6.41515020542639
GTEX.1122O.0326.SM.5H124,ACC(T=79;N=258),Normal,6.20261362014849
GTEX.117YX.0126.SM.5EGH5,ACC(T=79;N=258),Normal,6.33556900555675
GTEX.11DXX.0126.SM.5EGH7,ACC(T=79;N=258),Normal,6.50080205305716
GTEX.11DXY.1626.SM.5H12L,ACC(T=79;N=258),Normal,6.36998986295662
GTEX.11DXZ.0226.SM.5EGGZ,ACC(T=79;N=258),Normal,6.12598165385472
GTEX.11EM3.0326.SM.5A5KJ,ACC(T=79;N=258),Normal,6.33127526714661
GTEX.11EMC.0526.SM.5EGJN,ACC(T=79;N=258),Normal,6.74011804283313
GTEX.11EQ9.0126.SM.5986I,ACC(T=79;N=258),Normal,6.08129701413827
GTEX.11GSP.0326.SM.5A5KW,ACC(T=79;N=258),Normal,6.67948009950545
GTEX.11I78.1826.SM.5A5M4,ACC(T=79;N=258),Normal,6.34447345945636
GTEX.11NSD.0226.SM.5A5LR,ACC(T=79;N=258),Normal,6.75221336786514
GTEX.11P7K.0126.SM.5986E,ACC(T=79;N=258),Normal,6.20202584460934
GTEX.11TT1.0126.SM.5LUAA,ACC(T=79;N=258),Normal,7.17092652528738
GTEX.11XUK.0126.SM.5CVLK,ACC(T=79;N=258),Normal,6.28114183367197
GTEX.1211K.0126.SM.59HJE,ACC(T=79;N=258),Normal,6.81378119121704
GTEX.12696.0626.SM.5EGGD,ACC(T=79;N=258),Normal,7.58195375084882
GTEX.12BJ1.0526.SM.5FQUD,ACC(T=79;N=258),Normal,6.25964912064916
GTEX.12WSD.2126.SM.5LZWK,ACC(T=79;N=258),Normal,6.88996019965864
GTEX.12WSG.0726.SM.5EGIG,ACC(T=79;N=258),Normal,7.25550073314839
GTEX.12WSJ.0126.SM.5GCOM,ACC(T=79;N=258),Normal,6.3743439890385
GTEX.12WSK.0326.SM.5GCOJ,ACC(T=79;N=258),Normal,5.97705090611061
GTEX.12WSL.0326.SM.5CVMK,ACC(T=79;N=258),Normal,6.15926588316068
GTEX.12WSN.0926.SM.5GCN1,ACC(T=79;N=258),Normal,4.99638874644762
GTEX.12ZZZ.0926.SM.5N9EQ,ACC(T=79;N=258),Normal,5.88386515450979
GTEX.13111.0326.SM.5DUXF,ACC(T=79;N=258),Normal,6.36754580010534
GTEX.131XF.0126.SM.5DUVF,ACC(T=79;N=258),Normal,6.3328869169596
GTEX.131XG.1326.SM.5DUX4,ACC(T=79;N=258),Normal,6.91647664443772
GTEX.131YS.2026.SM.5P9J8,ACC(T=79;N=258),Normal,6.40002551791402
GTEX.132AR.1726.SM.5EGHQ,ACC(T=79;N=258),Normal,7.11894107272351
GTEX.132NY.2226.SM.5J2LZ,ACC(T=79;N=258),Normal,7.14159627838382
GTEX.132QS.0126.SM.5IFH9,ACC(T=79;N=258),Normal,6.24298351610969
GTEX.1339X.0826.SM.5J2O6,ACC(T=79;N=258),Normal,6.82908844400489
GTEX.1399R.0326.SM.5KM1X,ACC(T=79;N=258),Normal,6.63502879902745
GTEX.1399S.0426.SM.5IFG5,ACC(T=79;N=258),Normal,6.09465834265454
GTEX.1399U.0226.SM.5P9J2,ACC(T=79;N=258),Normal,6.2349610948395
GTEX.139YR.0126.SM.5IJEY,ACC(T=79;N=258),Normal,6.87405920314115
GTEX.13CF3.0126.SM.5IFFM,ACC(T=79;N=258),Normal,6.41125674622079
GTEX.13D11.0426.SM.5LZYA,ACC(T=79;N=258),Normal,6.28946563095822
GTEX.13FH7.0226.SM.5IFGG,ACC(T=79;N=258),Normal,7.27332938656167
GTEX.13FTW.0126.SM.5IJED,ACC(T=79;N=258),Normal,6.4757334309664
GTEX.13N11.0826.SM.5IJFP,ACC(T=79;N=258),Normal,6.40786256740339
GTEX.13O1R.2326.SM.5IJF9,ACC(T=79;N=258),Normal,7.74953426766926
GTEX.13O21.0126.SM.5IJE8,ACC(T=79;N=258),Normal,6.09169983413681
GTEX.13O3O.1626.SM.5KM1O,ACC(T=79;N=258),Normal,7.19377174339668
GTEX.13O61.0126.SM.5KM4P,ACC(T=79;N=258),Normal,6.43512849755131
GTEX.13OVI.1226.SM.5J2ME,ACC(T=79;N=258),Normal,5.97384083953315
GTEX.13OW6.1726.SM.5IJGI,ACC(T=79;N=258),Normal,7.11270013274936
GTEX.13OW7.2726.SM.5L3HN,ACC(T=79;N=258),Normal,6.55213110825378
GTEX.13PL7.1026.SM.5MR5C,ACC(T=79;N=258),Normal,6.30341546268562
GTEX.13PVR.0226.SM.5RQJI,ACC(T=79;N=258),Normal,6.42693561964834
GTEX.13QBU.0526.SM.5IJFE,ACC(T=79;N=258),Normal,6.34163000932991
GTEX.13W3W.1326.SM.5LU4T,ACC(T=79;N=258),Normal,6.29884157311203
GTEX.144GL.1826.SM.79OMB,ACC(T=79;N=258),Normal,6.71561885907482
GTEX.145LT.0126.SM.5S2QJ,ACC(T=79;N=258),Normal,6.25870735219683
GTEX.145MN.0226.SM.5QGPY,ACC(T=79;N=258),Normal,6.65821148275179
GTEX.146FR.1526.SM.5SIB8,ACC(T=79;N=258),Normal,6.44294349584873
GTEX.14753.1726.SM.5NQ9X,ACC(T=79;N=258),Normal,5.42693561964834
GTEX.147F4.2526.SM.5NQBB,ACC(T=79;N=258),Normal,6.69209237542757
GTEX.14A5H.2126.SM.7IGNV,ACC(T=79;N=258),Normal,6.57015930163612
GTEX.14A5I.2126.SM.5NQA8,ACC(T=79;N=258),Normal,7.63154086734149
GTEX.14BMU.0126.SM.5S2Q9,ACC(T=79;N=258),Normal,6.77346892790519
GTEX.14C38.1726.SM.5RQJC,ACC(T=79;N=258),Normal,6.76022094646651
GTEX.14DAQ.1826.SM.5S2VV,ACC(T=79;N=258),Normal,6.02170180007169
GTEX.14DAR.1726.SM.664MZ,ACC(T=79;N=258),Normal,5.86393845042397
GTEX.14E1K.0626.SM.5S2PG,ACC(T=79;N=258),Normal,6.61618123133188
GTEX.14E6E.0126.SM.73KXH,ACC(T=79;N=258),Normal,6.14036967065153
GTEX.14H4A.0226.SM.5SI6Q,ACC(T=79;N=258),Normal,6.36632221424582
GTEX.14JG6.0126.SM.68726,ACC(T=79;N=258),Normal,6.3743439890385
GTEX.14PJ4.0426.SM.6871F,ACC(T=79;N=258),Normal,6.69209237542757
GTEX.14PJ6.0126.SM.686Z5,ACC(T=79;N=258),Normal,6.17372709890289
GTEX.14PJM.2226.SM.6AJAT,ACC(T=79;N=258),Normal,6.8008998999203
GTEX.14PK6.0126.SM.664O1,ACC(T=79;N=258),Normal,6.41295084580588
GTEX.14PKV.0726.SM.686ZF,ACC(T=79;N=258),Normal,6.27370236873565
GTEX.14PN3.1426.SM.686Z8,ACC(T=79;N=258),Normal,6.2045711442492
GTEX.14XAO.0326.SM.6ETZN,ACC(T=79;N=258),Normal,6.7839804136838
GTEX.15CHR.0626.SM.7938V,ACC(T=79;N=258),Normal,6.64918431047001
GTEX.15DYW.2126.SM.6M47B,ACC(T=79;N=258),Normal,6.71973105674985
GTEX.15ER7.1126.SM.6M47F,ACC(T=79;N=258),Normal,6.59380192890496
GTEX.15EU6.0326.SM.6M48I,ACC(T=79;N=258),Normal,6.32517051237605
GTEX.15SHU.1926.SM.7KUMO,ACC(T=79;N=258),Normal,6.79051141189419
GTEX.16AAH.0226.SM.793A8,ACC(T=79;N=258),Normal,6.59170933316174
GTEX.16MT8.1626.SM.7EWDW,ACC(T=79;N=258),Normal,6.52591226074335
GTEX.16NGA.0126.SM.72D6U,ACC(T=79;N=258),Normal,6.09085343045111
GTEX.17HGU.0126.SM.7DHLV,ACC(T=79;N=258),Normal,6.42592920520858
GTEX.17HHE.0226.SM.79399,ACC(T=79;N=258),Normal,6.29241366782748
GTEX.17HHY.2226.SM.7KFS4,ACC(T=79;N=258),Normal,6.24564777363675
GTEX.17KNJ.0326.SM.7KFS5,ACC(T=79;N=258),Normal,6.36876834909033
GTEX.18A6Q.1826.SM.72D6I,ACC(T=79;N=258),Normal,6.16551001804135
GTEX.18A7A.1826.SM.7KFTU,ACC(T=79;N=258),Normal,6.81762325751143
GTEX.18D9B.1926.SM.7KFSV,ACC(T=79;N=258),Normal,6.60540543682512
GTEX.1A32A.2126.SM.718AZ,ACC(T=79;N=258),Normal,7.30103884990315
GTEX.1A3MV.0226.SM.731FS,ACC(T=79;N=258),Normal,6.22226360352835
GTEX.1A3MW.2126.SM.731DO,ACC(T=79;N=258),Normal,6.83289001416474
GTEX.1A8FM.1926.SM.7MXTX,ACC(T=79;N=258),Normal,6.6667565918848
GTEX.1AMFI.0626.SM.731DR,ACC(T=79;N=258),Normal,6.18665901720211
GTEX.1AX8Z.2426.SM.72D7D,ACC(T=79;N=258),Normal,6.37573453858316
GTEX.1AX9J.0626.SM.72D7L,ACC(T=79;N=258),Normal,6.77478705960117
GTEX.1AX9K.0126.SM.7PC1B,ACC(T=79;N=258),Normal,6.27090264916713
GTEX.1B8KE.0926.SM.7189I,ACC(T=79;N=258),Normal,6.2807707701306
GTEX.1B8KZ.0126.SM.7DHM5,ACC(T=79;N=258),Normal,5.9898202201176
GTEX.1B8L1.1326.SM.7MKG6,ACC(T=79;N=258),Normal,6.5352753766208
GTEX.1B996.2026.SM.7MKG7,ACC(T=79;N=258),Normal,8.23026066466979
GTEX.1BAJH.2626.SM.7EPG6,ACC(T=79;N=258),Normal,7.04548665635946
GTEX.1C475.0126.SM.731DC,ACC(T=79;N=258),Normal,6.07510472220949
GTEX.1CAMR.0126.SM.79391,ACC(T=79;N=258),Normal,6.48381577726426
GTEX.1CAMS.0226.SM.79397,ACC(T=79;N=258),Normal,6.39471991299406
GTEX.1CB4F.0126.SM.9JGGZ,ACC(T=79;N=258),Normal,6.11290859962941
GTEX.1EH9U.1726.SM.7P8QK,ACC(T=79;N=258),Normal,5.8507494258965
GTEX.1EKGG.2126.SM.7MKFT,ACC(T=79;N=258),Normal,6.23764019503539
GTEX.1F5PK.0826.SM.7MXVI,ACC(T=79;N=258),Normal,5.854993016757
GTEX.1F5PL.2326.SM.7MKFC,ACC(T=79;N=258),Normal,6.18705508996806
GTEX.1F75A.2026.SM.9KNTR,ACC(T=79;N=258),Normal,4.98732086592925
GTEX.1F75I.0126.SM.9WPPW,ACC(T=79;N=258),Normal,6.21101219348551
GTEX.1F88F.1526.SM.9JGG1,ACC(T=79;N=258),Normal,6.14751022492028
GTEX.1GF9V.2026.SM.9JGHS,ACC(T=79;N=258),Normal,5.71066869967463
GTEX.1GL5R.1026.SM.7P8U1,ACC(T=79;N=258),Normal,5.92623668441333
GTEX.1GMR3.0926.SM.9WPP9,ACC(T=79;N=258),Normal,6.35948603031139
GTEX.1GN1V.1626.SM.7PBZF,ACC(T=79;N=258),Normal,6.260590274731
GTEX.1GN73.1526.SM.9WPP1,ACC(T=79;N=258),Normal,7.09275714091985
GTEX.1H11D.2426.SM.9JGGN,ACC(T=79;N=258),Normal,6.7292808460274
GTEX.1H1E6.1026.SM.9JGFZ,ACC(T=79;N=258),Normal,6.08214904135387
GTEX.1H3VY.1826.SM.9JGI4,ACC(T=79;N=258),Normal,6.43145581668572
GTEX.1HBPI.1926.SM.CE6RT,ACC(T=79;N=258),Normal,5.65792577227638
GTEX.1HC8U.0226.SM.9WG7Q,ACC(T=79;N=258),Normal,6.29130885982897
GTEX.1HCU6.1826.SM.C1YRN,ACC(T=79;N=258),Normal,7.29001884693262
GTEX.1HKZK.0126.SM.B2LWF,ACC(T=79;N=258),Normal,6.21839371107679
GTEX.1I1GP.1826.SM.C1YS1,ACC(T=79;N=258),Normal,7.00337736020232
GTEX.1I1GQ.2026.SM.ARU7F,ACC(T=79;N=258),Normal,6.46809451637844
GTEX.1I1GT.0126.SM.B2LWM,ACC(T=79;N=258),Normal,6.34091827027212
GTEX.1I1GU.0226.SM.AHZ2J,ACC(T=79;N=258),Normal,6.54070926267143
GTEX.1I1GV.1826.SM.CNNR8,ACC(T=79;N=258),Normal,5.61735726159132
GTEX.1ICG6.0226.SM.AHZ2P,ACC(T=79;N=258),Normal,6.28355142317431
GTEX.1IDJH.1726.SM.A96T3,ACC(T=79;N=258),Normal,6.05961485629722
GTEX.1IDJU.0126.SM.CNNR2,ACC(T=79;N=258),Normal,5.99118168140853
GTEX.1J8EW.1826.SM.C1YQW,ACC(T=79;N=258),Normal,6.75355105460065
GTEX.1J8Q3.0326.SM.CE6TD,ACC(T=79;N=258),Normal,6.2340030663556
GTEX.1JKYN.0126.SM.AHZ4C,ACC(T=79;N=258),Normal,6.25738784269265
GTEX.1JMLX.1126.SM.CXZJN,ACC(T=79;N=258),Normal,6.992088609014
GTEX.1K2DA.0226.SM.CGQGW,ACC(T=79;N=258),Normal,6.33378150063115
GTEX.1K2DU.0826.SM.DHXKA,ACC(T=79;N=258),Normal,6.39591965945896
GTEX.1KANB.2626.SM.EV7BF,ACC(T=79;N=258),Normal,5.90062533253607
GTEX.1KD4Q.1826.SM.DIPFV,ACC(T=79;N=258),Normal,5.79025073883523
GTEX.1KWVE.0726.SM.D4P3O,ACC(T=79;N=258),Normal,6.8592241619782
GTEX.1KXAM.0326.SM.EV7AQ,ACC(T=79;N=258),Normal,6.39540560456633
GTEX.1LG7Z.0426.SM.D4P47,ACC(T=79;N=258),Normal,6.1407786557828
GTEX.1LGRB.0326.SM.CNPQC,ACC(T=79;N=258),Normal,6.10412695052722
GTEX.1LNCM.0826.SM.DHXL6,ACC(T=79;N=258),Normal,6.54287709935414
GTEX.1LVAN.0826.SM.CNNPG,ACC(T=79;N=258),Normal,6.14159627838382
GTEX.1M5QR.1726.SM.EV7AU,ACC(T=79;N=258),Normal,6.70735913208088
GTEX.1NUQO.0626.SM.E6CQT,ACC(T=79;N=258),Normal,6.52763338729093
GTEX.1PIIG.1426.SM.EXOIS,ACC(T=79;N=258),Normal,7.14261765544658
GTEX.1PPH8.0826.SM.DTX9T,ACC(T=79;N=258),Normal,6.48735771531155
GTEX.1PWST.2126.SM.DPRZ5,ACC(T=79;N=258),Normal,7.72383156649532
GTEX.1QMI2.1926.SM.EAZ4B,ACC(T=79;N=258),Normal,6.97384083953315
GTEX.1QP29.0326.SM.E6CQ4,ACC(T=79;N=258),Normal,6.49984588708321
GTEX.1QP2A.2626.SM.EAZ3L,ACC(T=79;N=258),Normal,6.87159726561385
GTEX.1QPFJ.2526.SM.EXOJX,ACC(T=79;N=258),Normal,5.42021289061078
GTEX.1R7EV.1726.SM.E6CR8,ACC(T=79;N=258),Normal,6.32012359804061
GTEX.1RAZQ.0226.SM.EV7BK,ACC(T=79;N=258),Normal,6.23725777090037
GTEX.1RQEC.1926.SM.DTX7M,ACC(T=79;N=258),Normal,6.5668151540109
GTEX.1S82P.1126.SM.EV79M,ACC(T=79;N=258),Normal,6.3094308781034
GTEX.NFK9.1726.SM.3TW8P,ACC(T=79;N=258),Normal,6.27388882366849
GTEX.O5YT.1326.SM.3MJGR,ACC(T=79;N=258),Normal,6.63850831844914
GTEX.O5YV.1126.SM.3LK73,ACC(T=79;N=258),Normal,8.1006623390052
GTEX.OHPK.1326.SM.3MJGN,ACC(T=79;N=258),Normal,6.23381138429316
GTEX.OHPL.1326.SM.3MJGG,ACC(T=79;N=258),Normal,6.36352154354655
GTEX.OIZF.1326.SM.3MJGU,ACC(T=79;N=258),Normal,6.77873424411784
GTEX.OIZH.1326.SM.3NB1H,ACC(T=79;N=258),Normal,6.75622271284729
GTEX.OOBK.3125.SM.3LK5R,ACC(T=79;N=258),Normal,6.91169158187234
GTEX.OXRK.0126.SM.3NB1E,ACC(T=79;N=258),Normal,6.67101024127845
GTEX.P4QS.1326.SM.3NMCD,ACC(T=79;N=258),Normal,6.86542397831313
GTEX.P4QT.1326.SM.3NMD3,ACC(T=79;N=258),Normal,6.20045727142857
GTEX.PLZ5.0326.SM.3P614,ACC(T=79;N=258),Normal,7.04984854945056
GTEX.PLZ6.0226.SM.3P61I,ACC(T=79;N=258),Normal,6.33985000288462
GTEX.PW2O.0226.SM.48TC7,ACC(T=79;N=258),Normal,6.44939629708678
GTEX.PWCY.0226.SM.48TD8,ACC(T=79;N=258),Normal,6.59693514238723
GTEX.PX3G.1326.SM.48U18,ACC(T=79;N=258),Normal,6.33771109212829
GTEX.Q2AH.0126.SM.48U2B,ACC(T=79;N=258),Normal,6.71973105674985
GTEX.Q2AI.0226.SM.48U1D,ACC(T=79;N=258),Normal,6.77873424411784
GTEX.Q734.0126.SM.48U1E,ACC(T=79;N=258),Normal,6.44393811501318
GTEX.QCQG.0126.SM.48U27,ACC(T=79;N=258),Normal,6.43862553808838
GTEX.QDVJ.1126.SM.48U1U,ACC(T=79;N=258),Normal,6.39180208251935
GTEX.QDVN.0426.SM.48TZ6,ACC(T=79;N=258),Normal,6.39197388306029
GTEX.QEG5.1826.SM.CE6QW,ACC(T=79;N=258),Normal,7.53993424517179
GTEX.QLQ7.0126.SM.CL55R,ACC(T=79;N=258),Normal,6.62439338221977
GTEX.QLQW.0226.SM.447BJ,ACC(T=79;N=258),Normal,6.94368695159709
GTEX.QMRM.0126.SM.CJI1R,ACC(T=79;N=258),Normal,6.65219964830406
GTEX.QXCU.1326.SM.48FE2,ACC(T=79;N=258),Normal,7.20945336562895
GTEX.R53T.0226.SM.48FEH,ACC(T=79;N=258),Normal,6.95884267524324
GTEX.R55C.0226.SM.48FEO,ACC(T=79;N=258),Normal,6.08809918399721
GTEX.R55E.1826.SM.EXOHD,ACC(T=79;N=258),Normal,6.85673675611911
GTEX.R55G.0126.SM.48FDS,ACC(T=79;N=258),Normal,6.355967689241
GTEX.REY6.1726.SM.48FDL,ACC(T=79;N=258),Normal,6.96462966672059
GTEX.RM2N.0126.SM.48FDD,ACC(T=79;N=258),Normal,6.54720302475693
GTEX.RNOR.1626.SM.EZ6MM,ACC(T=79;N=258),Normal,5.77030048949942
GTEX.RUSQ.0226.SM.47JWT,ACC(T=79;N=258),Normal,6.94251450533924
GTEX.RWSA.1726.SM.47JX7,ACC(T=79;N=258),Normal,7.2045711442492
GTEX.S32W.0126.SM.4AD61,ACC(T=79;N=258),Normal,7.22593041117105
GTEX.S33H.1326.SM.4AD6A,ACC(T=79;N=258),Normal,6.64918431047001
GTEX.S341.0126.SM.4AD64,ACC(T=79;N=258),Normal,6.48623167798101
GTEX.S3XE.0126.SM.4AD4R,ACC(T=79;N=258),Normal,7.00112666545428
GTEX.S4Q7.0226.SM.4AD5O,ACC(T=79;N=258),Normal,6.44923120066949
GTEX.S4Z8.0126.SM.4GICC,ACC(T=79;N=258),Normal,6.60806996772166
GTEX.SUCS.0526.SM.4DM56,ACC(T=79;N=258),Normal,6.72655877910497
GTEX.T6MO.0126.SM.4DM6X,ACC(T=79;N=258),Normal,6.76022094646651
GTEX.TKQ2.0226.SM.4DM6V,ACC(T=79;N=258),Normal,6.49105137636412
GTEX.TMMY.0126.SM.4DXTP,ACC(T=79;N=258),Normal,6.32192809488736
GTEX.U3ZM.0226.SM.4DXTA,ACC(T=79;N=258),Normal,6.48123434952853
GTEX.U3ZN.0826.SM.4DXSZ,ACC(T=79;N=258),Normal,6.80606622608903
GTEX.U4B1.0126.SM.4DXSN,ACC(T=79;N=258),Normal,6.93428059364002
GTEX.UJMC.0226.SM.4IHLH,ACC(T=79;N=258),Normal,6.21742461381398
GTEX.V1D1.0226.SM.4JBHG,ACC(T=79;N=258),Normal,6.02014657311178
GTEX.V955.0126.SM.4JBH5,ACC(T=79;N=258),Normal,6.88996019965864
GTEX.VJYA.0526.SM.4KL1R,ACC(T=79;N=258),Normal,6.59081157641784
GTEX.VUSG.1526.SM.4KKZH,ACC(T=79;N=258),Normal,6.8592241619782
GTEX.W5WG.1126.SM.4LMK4,ACC(T=79;N=258),Normal,6.85549144310187
GTEX.WFG8.0126.SM.4LVMH,ACC(T=79;N=258),Normal,6.70597790168252
GTEX.WHPG.1526.SM.4M1ZK,ACC(T=79;N=258),Normal,6.38076407498511
GTEX.WQUQ.0126.SM.4OOSS,ACC(T=79;N=258),Normal,7.10643207781693
GTEX.WY7C.0326.SM.4OND5,ACC(T=79;N=258),Normal,6.43229133824778
GTEX.WYVS.0226.SM.4ONDK,ACC(T=79;N=258),Normal,6.60436789989375
GTEX.X4EO.1726.SM.4QARN,ACC(T=79;N=258),Normal,6.58481221216006
GTEX.X4LF.0126.SM.4QAS7,ACC(T=79;N=258),Normal,6.42911377876734
GTEX.XMK1.0226.SM.4B65D,ACC(T=79;N=258),Normal,6.67666233485797
GTEX.XQ3S.1726.SM.4BOOD,ACC(T=79;N=258),Normal,6.99661471481536
GTEX.XUZC.0226.SM.4BOO7,ACC(T=79;N=258),Normal,6.36229453839559
GTEX.XV7Q.0226.SM.4BRVL,ACC(T=79;N=258),Normal,7.10118781525974
GTEX.XYKS.0926.SM.4BRVG,ACC(T=79;N=258),Normal,6.77082904603249
GTEX.Y114.0526.SM.4TT8V,ACC(T=79;N=258),Normal,6.32192809488736
GTEX.Y3IK.0226.SM.51MRJ,ACC(T=79;N=258),Normal,6.74953426766926
GTEX.Y5LM.0126.SM.4VBRL,ACC(T=79;N=258),Normal,6.73741636593706
GTEX.Y5V5.1326.SM.4V6G9,ACC(T=79;N=258),Normal,6.92599941855622
