Depmap ID,Expression 22Q1 Public,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000046,6.981167667105683,ACHN,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000048,6.810186007695356,TOV112D,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000049,6.43379405875492,HEKTE,Engineered,Engineered Kidney,
ACH-000050,7.04220656012069,NCIH929,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000051,6.862203399053223,TE617T,Sarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,6.986979709176578,A673,Bone Cancer,Bone,Ewing Sarcoma
ACH-000053,5.787118982813345,KARPAS299,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000054,7.092334311186201,HT1080,Sarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,7.495615223849098,D283MED,Brain Cancer,Central Nervous System,Medulloblastoma
ACH-000056,6.094236069845764,DOHH2,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000057,5.684818737553222,OPM1,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000058,6.547511523644216,ML1,Thyroid Cancer,Thyroid,Thyroid Carcinoma
ACH-000059,6.766595161729269,SUPB15,Leukemia,Blood,ALL
ACH-000060,7.2227466110124805,PANC1005,Pancreatic Cancer,Pancreas,Exocrine
ACH-000061,6.757423346821803,HH,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000062,6.775050541483175,RERFLCMS,Lung Cancer,Lung,NSCLC
ACH-000063,6.190812367916137,HS616T,Fibroblast,Fibroblast,Fibroblast Lymphocyte
ACH-000064,5.6372044819022955,SALE,Engineered,Engineered Lung,
ACH-000065,6.474922700379798,OCIAML5,Leukemia,Blood,AML
ACH-000066,6.891419186846079,HCC4006,Lung Cancer,Lung,NSCLC
ACH-000067,6.883498631653722,HS683,Brain Cancer,Central Nervous System,Glioma
ACH-000068,7.4710248390667555,REC1,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000069,7.050501697446728,HS611T,Lymphoma,Lymphocyte,Hodgkin Lymphoma
ACH-000070,7.091170890027901,697,Leukemia,Blood,ALL
ACH-000071,5.9226735928494465,HS706T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000072,7.626439136697315,MEG01,Leukemia,Blood,CML
ACH-000073,6.663629258814753,GRANTA519,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000074,7.745506265869159,KU812,Leukemia,Blood,CML
ACH-000075,6.824131379386603,U87MG,Brain Cancer,Central Nervous System,Glioma
ACH-000076,5.8989338717801765,NCO2,Leukemia,Blood,CML
ACH-000077,6.978310052098407,MJ,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000078,6.366322214245817,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,6.191009848587294,TE125T,Fibroblast,Fibroblast,Fibroblast Soft Tissue
ACH-000080,6.486392594275963,BDCM,Leukemia,Blood,AML
ACH-000081,5.758356482939918,GDM1,Leukemia,Blood,AML
ACH-000082,6.759289015895071,G292CLONEA141B1,Bone Cancer,Bone,Osteosarcoma
ACH-000083,6.399171093819822,HS281T,Fibroblast,Fibroblast,Fibroblast Breast
ACH-000084,5.809157164691589,MUTZ3,Leukemia,Blood,AML
ACH-000085,7.335569005556747,T3M4,Pancreatic Cancer,Pancreas,Exocrine
ACH-000086,7.168922781852936,ACCMESO1,Lung Cancer,Lung,Mesothelioma
ACH-000087,6.906890595608518,SKES1,Bone Cancer,Bone,Ewing Sarcoma
ACH-000088,5.305970520984387,HS172T,Fibroblast,Fibroblast,Fibroblast Urinary Tract
ACH-000089,6.777814199875274,NCIH684,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000090,6.740118042833128,PC3,Prostate Cancer,Prostate,Prostate Adenocarcinoma
ACH-000091,6.0210354795113625,OV56,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000092,6.494415610397496,NCIH2452,Lung Cancer,Lung,Mesothelioma
ACH-000093,6.721919445551545,PANC0504,Pancreatic Cancer,Pancreas,Exocrine
ACH-000094,6.182295025025482,HPAFII,Pancreatic Cancer,Pancreas,Exocrine
ACH-000095,5.965553434987077,D341,Brain Cancer,Central Nervous System,Medulloblastoma
ACH-000096,7.1977081579558515,G401,Rhabdoid,Kidney,Malignant Rhabdoid Tumor
ACH-000097,7.670160514126634,ZR751,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000098,7.299116415794092,GAMG,Brain Cancer,Central Nervous System,Glioma
ACH-000099,7.58706489836317,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,6.85137426675727,RH41,Sarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,5.936637939002571,KE37,Leukemia,Blood,ALL
ACH-000102,6.6748278321868,GMS10,Brain Cancer,Central Nervous System,Glioma
ACH-000103,6.504620392403552,CAOV4,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000104,5.914325330085303,LOUCY,Leukemia,Blood,ALL
ACH-000105,7.046141781644722,ALLSIL,Leukemia,Blood,ALL
ACH-000106,6.568944144654707,JVM2,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000107,6.032100843167024,CAPAN2,Pancreatic Cancer,Pancreas,Exocrine
ACH-000108,6.591110890742753,KP3,Pancreatic Cancer,Pancreas,Exocrine
ACH-000109,6.428946344769483,NCIH3255,Lung Cancer,Lung,NSCLC
ACH-000110,6.411765185006982,NCCSTCK140,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000111,5.537296067090842,HCC1187,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000112,7.140267406250215,SIGM5,Leukemia,Blood,AML
ACH-000113,6.858354057675243,OCIAML2,Leukemia,Blood,AML
ACH-000114,5.570766496527611,SU8686,Pancreatic Cancer,Pancreas,Exocrine
ACH-000115,7.571525130946358,VCAP,Prostate Cancer,Prostate,Prostate Adenocarcinoma
ACH-000116,6.610729586534706,OAW28,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000117,6.703903573444665,EFM192A,Breast Cancer,Breast,Breast Adenocarcinoma
ACH-000118,6.7014104362328135,HUPT3,Pancreatic Cancer,Pancreas,Exocrine
ACH-000119,6.491853096329675,HS863T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000120,7.956172844176723,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,7.1991815487639705,NCIH2405,Lung Cancer,Lung,NSCLC
ACH-000122,6.532472816842871,SUPT11,Leukemia,Blood,ALL
ACH-000123,6.832510307611454,COV434,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000124,6.154210530588339,OCILY19,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000125,5.95814667376272,TO175T,Fibroblast,Fibroblast,Fibroblast Lymphocyte
ACH-000126,6.2511509905939375,KG1C,Brain Cancer,Central Nervous System,Glioma
ACH-000127,5.794935662803536,SLR20,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000128,7.034743949324733,LN319,Brain Cancer,Central Nervous System,Glioma
ACH-000129,6.613973587380224,NCIH1341,Lung Cancer,Lung,SCLC
ACH-000130,6.545505100691072,NALM19,Leukemia,Blood,ALL
ACH-000131,7.02945288578697,HS229T,Fibroblast,Fibroblast,Fibroblast Lung
ACH-000132,6.683275372908121,JHOS2,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000133,6.752481004456373,HS729,Fibroblast,Fibroblast,Fibroblast Soft Tissue
ACH-000134,5.969472864596328,HS274T,Fibroblast,Fibroblast,Fibroblast Breast
ACH-000135,6.002927502063068,HS940T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000136,7.028127082317139,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,7.101503009167169,8MGBA,Brain Cancer,Central Nervous System,Glioma
ACH-000138,5.871597265613853,CFPAC1,Pancreatic Cancer,Pancreas,Exocrine
ACH-000139,6.930500810791164,PANC0327,Pancreatic Cancer,Pancreas,Exocrine
ACH-000140,7.374778679764888,PFEIFFER,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000141,6.62993940943954,SNU308,Gallbladder Cancer,Bile Duct,Gallbladder Adenocarcinoma
ACH-000142,6.369989862956622,CAL29,Bladder Cancer,Urinary Tract,Bladder Carcinoma
ACH-000143,6.123707576512072,HCC2429,Lung Cancer,Lung,NSCLC
ACH-000144,6.68565987743181,RERFGC1B,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000145,6.255500733148386,SKLMS1,Sarcoma,Soft Tissue,Leiomyosarcoma
ACH-000146,6.984931072769222,THP1,Leukemia,Blood,AML
ACH-000147,7.157852169141737,T47D,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000148,5.484138131201669,HS578T,Breast Cancer,Breast,Breast Carcinoma
ACH-000149,7.800899899920305,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,6.2368752453669405,HCC2935,Lung Cancer,Lung,NSCLC
ACH-000151,7.319401166858324,JM1,Leukemia,Blood,ALL
ACH-000152,6.351380980674333,M059K,Brain Cancer,Central Nervous System,Glioma
ACH-000153,7.313699344087177,NCIH2052,Lung Cancer,Lung,Mesothelioma
ACH-000154,6.3800713873996555,HS888T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000155,7.834787049337339,SW1990,Pancreatic Cancer,Pancreas,Exocrine
ACH-000156,6.484943701070659,MHHCALL4,Leukemia,Blood,ALL
ACH-000157,6.911691581872339,A4FUK,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000158,6.90195294759188,OCILY3,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000159,6.5878150127880595,OSRC2,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000160,7.562013406831769,BT12,Rhabdoid,Soft Tissue,ATRT
ACH-000161,7.1651079851445365,CORL105,Lung Cancer,Lung,NSCLC
ACH-000162,6.896635141302909,GA10,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000163,6.579994693198693,SW579,Thyroid Cancer,Thyroid,Thyroid Squamous
ACH-000164,7.539546580238412,PANC1,Pancreatic Cancer,Pancreas,Exocrine
ACH-000165,6.023477151830432,HS751T,Fibroblast,Fibroblast,Fibroblast Lymphocyte
ACH-000166,6.657640005207825,KASUMI6,Leukemia,Blood,AML
ACH-000167,7.195347598322218,KE97,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000168,6.700578432149265,NOMO1,Leukemia,Blood,AML
ACH-000169,6.4867143730307015,RD,Sarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,5.260402093025792,PRECLH,Engineered,Engineered Prostate,
ACH-000171,6.344295907915818,VMRCRCZ,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000172,5.934752370963028,TM87,Rhabdoid,Soft Tissue,Malignant Rhabdoid Tumor
ACH-000173,6.633867091835625,JHUEM3,Endometrial/Uterine Cancer,Uterus,Endometrial Adenocarcinoma
ACH-000174,6.3321708504151095,CAL62,Thyroid Cancer,Thyroid,Thyroid Carcinoma
ACH-000175,5.96970308801354,TE159T,Fibroblast,Fibroblast,Fibroblast Soft Tissue
ACH-000176,7.116759813381558,LOUNH91,Lung Cancer,Lung,NSCLC
ACH-000177,5.853247167242153,NCIH660,Prostate Cancer,Prostate,Prostate Small Cell
ACH-000178,6.597084173433371,HS766T,Pancreatic Cancer,Pancreas,Exocrine
ACH-000179,6.4419481905033615,NCIH1618,Lung Cancer,Lung,SCLC
ACH-000180,6.031880365587182,HS839T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000181,6.556582689823251,SCC9,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000182,7.458693688163535,SNU869,Bile Duct Cancer,Bile Duct,Cholangiocarcinoma
ACH-000183,6.034743949324733,L363,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000184,6.439290681042018,HS343T,Fibroblast,Fibroblast,Fibroblast Breast
ACH-000185,5.841469999465799,HS737T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000186,6.387155717662981,NCIH2444,Lung Cancer,Lung,NSCLC
ACH-000187,7.139244363347548,CORL311,Lung Cancer,Lung,SCLC
ACH-000188,5.627315001365048,SCC25,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000189,5.513174884603631,RCC10RGB,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000190,6.891540702537108,HDMYZ,Leukemia,Unknown,
ACH-000191,6.150153455246247,BHT101,Thyroid Cancer,Thyroid,Thyroid Carcinoma
ACH-000192,6.104965604839978,MFE280,Endometrial/Uterine Cancer,Uterus,Endometrial Adenocarcinoma
ACH-000193,6.990728003718973,KARPAS620,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000194,6.099295204337776,HS934T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000195,6.744968348248875,SET2,Leukemia,Blood,AML
ACH-000196,6.930500810791164,HCC1599,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000197,5.803485375595952,TALL1,Leukemia,Blood,ALL
ACH-000198,6.316326792057148,EOL1,Leukemia,Blood,AML
ACH-000199,5.134220939760634,HS255T,Fibroblast,Fibroblast,Fibroblast Colorectal
ACH-000200,6.6887398680144905,NMCG1,Brain Cancer,Central Nervous System,Glioma
ACH-000201,6.948951200441423,A204,Rhabdoid,Soft Tissue,Malignant Rhabdoid Tumor
ACH-000202,7.474192653114043,COLO320,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000203,6.617210310224668,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,6.372081483534501,LP1,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000205,5.578938713093387,PK59,Pancreatic Cancer,Pancreas,Exocrine
ACH-000206,5.430619810959777,C8166,Lymphoma,Lymphocyte,ATL
ACH-000207,7.421644094048272,DETROIT562,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000208,6.512858954449976,U178,Brain Cancer,Central Nervous System,Glioma
ACH-000209,6.174725987706133,SNU1079,Bile Duct Cancer,Bile Duct,Cholangiocarcinoma
ACH-000210,7.08672008645982,CADOES1,Bone Cancer,Bone,Ewing Sarcoma
ACH-000211,6.523561956057013,DAOY,Brain Cancer,Central Nervous System,Medulloblastoma
ACH-000212,7.985101903624258,CAL120,Breast Cancer,Breast,Breast Carcinoma
ACH-000213,6.509379148914689,HUPT4,Pancreatic Cancer,Pancreas,Exocrine
ACH-000214,6.216842842837262,HS675T,Fibroblast,Fibroblast,Fibroblast Colorectal
ACH-000215,7.122569192216448,LN382,Brain Cancer,Central Nervous System,Glioma
ACH-000216,6.1681205045955645,JHESOAD1,Esophageal Cancer,Esophagus,Esophagus Adenocarcinoma
ACH-000217,6.332349900373874,JHH6,Liver Cancer,Liver,Hepatocellular Carcinoma
ACH-000218,5.815319245777307,PL21,Leukemia,Blood,AML
ACH-000219,7.205646651428544,A375,Skin Cancer,Skin,Melanoma
ACH-000220,6.96682265132437,MINO,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000221,7.447496546665392,SNU398,Liver Cancer,Liver,Hepatocellular Carcinoma
ACH-000222,5.732540561308117,ASPC1,Pancreatic Cancer,Pancreas,Exocrine
ACH-000223,6.836934011321093,HCC1937,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000224,5.5431865245651695,HS819T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000225,6.559950612713082,ECC12,Gastric Cancer,Gastric,Gastric Small Cell
ACH-000226,5.987775616142912,SUPM2,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000227,6.338602690352633,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,5.9818526532897405,BICR31,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000229,5.370513052460412,HS822T,Fibroblast,Fibroblast,Fibroblast Bone
ACH-000230,5.308156975114762,HS742T,Fibroblast,Fibroblast,Fibroblast Breast
ACH-000231,5.309976492370557,KALS1,Brain Cancer,Central Nervous System,Glioma
ACH-000232,6.76633013095037,U251MG,Brain Cancer,Central Nervous System,Glioma
ACH-000233,6.005624549193878,DEL,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000234,6.654063132643982,CAKI2,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000235,6.551823595721255,PANC0403,Pancreatic Cancer,Pancreas,Exocrine
ACH-000236,6.6626327749539085,SW1417,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000237,6.584210901308018,JHOM1,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000238,5.727103603522661,SCC4,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000239,6.662917554868156,HUG1N,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000240,5.927896453728821,HS600T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000241,5.596935142387232,JK1,Leukemia,Blood,CML
ACH-000242,7.3646599718147625,RT4,Bladder Cancer,Urinary Tract,Bladder Carcinoma
ACH-000243,6.6915341649192,DANG,Pancreatic Cancer,Pancreas,Exocrine
ACH-000244,6.078951341394823,DKMG,Brain Cancer,Central Nervous System,Glioma
ACH-000245,7.187055089968058,BL41,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000246,6.730504102529912,SLR23,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000247,6.296824458649369,OCUM1,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000248,7.493214998626724,AU565,Breast Cancer,Breast,Breast Adenocarcinoma
ACH-000249,7.024474827952101,CL11,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000250,6.852373449580267,KMRC20,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000251,7.920055054806968,NCIH2887,Lung Cancer,Lung,NSCLC
ACH-000252,6.93569546303184,LS1034,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000253,6.923149180472309,COLO201,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000254,5.942045259916045,SCC15,Head and Neck Cancer,Upper Aerodigestive,Upper Aerodigestive Squamous
ACH-000255,6.395919659458955,LMSU,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000256,5.735792927985309,COV318,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000257,6.9529159322763086,CORL279,Lung Cancer,Lung,SCLC
ACH-000258,6.502553379813057,DU4475,Breast Cancer,Breast,Breast Carcinoma
ACH-000259,7.441533277198932,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,7.6985657724753604,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,7.178017422391035,RERFLCAI,Lung Cancer,Lung,NSCLC
ACH-000262,7.090641751917848,UOK101,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000263,7.125981653854716,KASUMI1,Leukemia,Blood,AML
ACH-000264,6.491211756003093,CALU6,Lung Cancer,Lung,NSCLC
ACH-000265,6.288912202766193,KP4,Pancreatic Cancer,Pancreas,Exocrine
ACH-000266,6.436961337833602,SNU213,Pancreatic Cancer,Pancreas,Exocrine
ACH-000267,5.495375380944628,HDLM2,Lymphoma,Lymphocyte,Hodgkin Lymphoma
ACH-000268,6.902194200943764,SNU245,Bile Duct Cancer,Bile Duct,Cholangiocarcinoma
ACH-000269,7.390512925932013,AM38,Brain Cancer,Central Nervous System,Glioma
ACH-000270,5.918624755574591,HPAC,Pancreatic Cancer,Pancreas,Exocrine
ACH-000271,6.666898582440589,SUDHL10,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000272,5.9354597478052895,SLR24,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000273,6.884597920990063,SF539,Brain Cancer,Central Nervous System,Glioma
ACH-000274,6.576673292516575,HS852T,Skin Cancer,Skin,Melanoma
ACH-000275,6.066304502008189,HS834T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000276,7.060263598738293,HCC38,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000277,6.602735975667112,HCC1419,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000278,7.264724074238008,COV362,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000279,7.388878338811989,EWS502,Bone Cancer,Bone,Ewing Sarcoma
ACH-000280,7.3165078191031085,SNU840,Ovarian Cancer,Ovary,Brenner Tumor
ACH-000281,6.699607153893178,KP2,Pancreatic Cancer,Pancreas,Exocrine
ACH-000282,6.741601811413242,NCIH1755,Lung Cancer,Lung,NSCLC
ACH-000283,7.146899560343589,A1207,Brain Cancer,Central Nervous System,Glioma
ACH-000284,6.714520290553514,HS840T,Fibroblast,Fibroblast,Fibroblast Upper Aerodigestive
ACH-000285,7.765004246250036,TOLEDO,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000286,6.2389778817708965,SNU1033,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000287,6.843607046490562,NUDUL1,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000288,6.423241995973661,BT549,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000289,5.895787316463312,SNU466,Brain Cancer,Central Nervous System,Glioma
ACH-000290,7.346868269025598,NCIH209,Lung Cancer,Lung,SCLC
ACH-000291,7.425929205208577,OV90,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000292,6.633721812641013,NCIH841,Lung Cancer,Lung,SCLC
ACH-000293,6.822985018546878,KLE,Endometrial/Uterine Cancer,Uterus,Endometrial Adenocarcinoma
ACH-000294,7.360627646192947,NB4,Leukemia,Blood,AML
ACH-000295,7.639159795109968,EM2,Leukemia,Blood,CML
ACH-000296,5.665051614289213,OUMS23,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000297,6.4715126480455,NCIH889,Lung Cancer,Lung,SCLC
ACH-000298,6.234577959784565,NCIH2029,Lung Cancer,Lung,SCLC
ACH-000299,6.124741692419651,HNT34,Leukemia,Blood,AML
ACH-000300,6.569248029867183,SLR25,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000301,6.019034669364338,LAMA84,Leukemia,Blood,CML
ACH-000302,6.279099802133754,SNU1077,Endometrial/Uterine Cancer,Uterus,Mullerian Carcinoma
ACH-000303,8.055445136293523,SNU5,Gastric Cancer,Gastric,Gastric Adenocarcinoma
ACH-000304,6.270528942380718,WM115,Skin Cancer,Skin,Melanoma
ACH-000305,6.073391816052921,ECGI10,Esophageal Cancer,Esophagus,Esophagus Squamous
ACH-000306,5.8502493582863275,HS688AT,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000307,7.5479741483205816,PK1,Pancreatic Cancer,Pancreas,Exocrine
ACH-000308,6.423073879089372,EFO21,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000310,7.5148323838071285,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,6.85049941375812,NCIH2122,Lung Cancer,Lung,NSCLC
ACH-000312,7.12339719714104,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,5.9502351004856875,KMRC3,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000314,7.403097261532003,HCC2108,Lung Cancer,Lung,NSCLC
ACH-000315,6.829722735086058,KARPAS422,Lymphoma,Lymphocyte,Non Hodgkin Lymphoma
ACH-000316,6.8814199080924014,SNU886,Liver Cancer,Liver,Hepatocellular Carcinoma
